Title_Abstract
"Flexible Printed Active Antenna for Digital Television Reception  2018 The Institute of Electronics, Information and Communication Engineers (IEICE).This paper presents the development of a flexible printed active antenna for the digital television (DTV) reception in areas having poor signal or in high-rise buildings. The antenna structure is composed of a meander line printed on a polyimide film as a radiating element. It has a thickness of 0.3 mm, highly flexible, and very lightweight. The design and analysis of the radiating element are based on a full-wave method implemented by a commercial electromagnetic simulation software. The amplifier circuit consisting of a surface-mount transistor and passive components are integrated directly on the polyimide film, residing next to the feedline, to improve the antenna performance and minimize the whole antenna dimension. The impedance matching between the radiating element, the feed line, and the active circuit are considered. The measured results show that the return loss of more than approximately 10 dB, the maximum gain of about 18 dB, and the Omni-directional radiation pattern are achieved in the operating frequency band of 510-790 MHz. Due to its flexibility, low profile, lightweight, and additional gain, the proposed antenna could be useful for various specific applications."
"Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser  2018 Elsevier LtdComputational fluid dynamics was applied for sorption enhanced steam methane reforming (SESMR) operating in a circulating fluidized bed (CFB) riser. The solid mixtures consisted of Ni-based catalyst and CaO sorbent. The aim of study was to design a proper pilot-scale CFB riser which produced hydrogen (H2) with both high purity and high flux. The design parameters and the reaction parameters were examined with 2k full factorial design. The significances of each parameter were analyzed by analysis of variance. Using the optimum result, the highest H2 purity reached 98.58% in dry basis accompanied with the highest H2 flux of 0.301 kg/m2 s. The hydrodynamics of this optimum case showed that SESMR was nearly completed since 5.0 m height because axial and radial distributions of solid were well developed without excessive segregation between catalyst and sorbent. Thus, the H2 purity and the H2 flux approached fully developed within the riser height."
"Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation  2018 Elsevier B.V. A superhydrophobic/superoleophilic mesh was successfully prepared in a simple and environmentally friendly process by coating with fluoroalkylsilane-modified natural rubber-encapsulated silica latex (FAS-modified NR/SiO 2 ). TEM images confirmed the formation of a core-shell morphology, in which the rubber core was fully covered by a silica shell. This improved the thermal stability of the composites. Coating with FAS-modified NR/SiO 2 enhanced both the hydrophobicity and surface roughness of the mesh. The depth profile of the XPS spectra revealed the presence of fluoroalkylsilane on the superhydrophobic mesh and Ar gas ion etching confirmed migration of the fluoroalkylsilane, SiO 2 and carbon to the mesh surface. SEM and AFM results quantified the surface roughness of the coated mesh. Meshes coated with FAS-modified NR/SiO 2 exhibited superhydrophobic/superoleophilic properties. Surfaces coated with these encapsulated particles were successfully applied to oil/water separation. They exhibited a separation efficiency of up to 100% and were reusable across 30 cycles."
"Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection  2018 Elsevier B.V. A label-free electrochemical DNA sensor based on pyrrolidinyl peptide nucleic acid (acpcPNA)-immobilized on a paper-based analytical device (PAD) was developed. Unlike previous PNA-based electrochemical PAD (ePAD) sensors where the capture element was placed directly on the electrode, acpcPNA was covalently immobilized onto partially oxidized cellulose paper allowing regeneration by simple PAD replacement. As an example application, a sensor probe was designed for Mycobacterium tuberculosis (MTB) detection. The ePAD DNA sensor was used to determine a synthetic 15-base oligonucleotide of MTB by measuring the fractional change in the charge transfer resistance (R ct ) obtained from electrochemical impedance spectroscopy (EIS). The R ct of [Fe(CN) 6 ] 3-/4- before and after hybridization with the target DNA could be clearly distinguished. Cyclic voltammetry (CV) was used to verify the EIS results, and showed an increase in peak potential splitting in a similar stepwise manner for each immobilization step. Under optimal conditions, a linear calibration curve in the range of 2–200 nM and the limit of detection 1.24 nM were measured. The acpcPNA probe exhibited very high selectivity for complementary oligonucleotides over single-base-mismatch, two-base-mismatch and non-complementary DNA targets due to the conformationally constrained structure of the acpcPNA. Moreover, the ePAD DNA sensor platform was successfully applied to detect PCR-amplified MTB DNA extracted from clinical samples. The proposed paper-based electrochemical DNA sensor has potential to be an alternative device for low-cost, simple, label-free, sensitive and selective DNA sensor."
"Evaluation of outsourcing transportation contract using simulation and design of experimentOcena kontraktów outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu  2018, Czestochowa University of Technology. All rights reserved.This paper aims to develop an approach to identify optimal fleet size under uncertainty and to identify important factors affecting transportation performance. The methodologies used in this paper are two folded. The first methodology is to develop a simulation model that allows manager to evaluate the impact of having different number of trailers on delivery and cost in order to identify the optimal fleet size. The second methodology is to use a Design of experiment (DOE) together with the simulation model to identify important factors that affect transportation performances. The result shows that the company should hire 16 trailers, which will reduce the delivery delay from 14% to 0.02%. Furthermore, it is found that variation in demand has a strong impact on late delivery and cost. There is also an interaction between demand variation and transportation time variation."
"The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency  2018 Elsevier B.V.Ornithine transcarbamylase deficiency (OTCD) is an X-linked urea cycle disorder affecting both males and females. Hemizygous males commonly present with severe hyperammonemic encephalopathy during the neonatal period. Heterozygous females have great phenotypic variability. The majority of female patients can manifest later in life or have unrecognized symptoms, making the diagnosis of OTCD in females very challenging. Here we report on three unrelated Thai female cases with OTCD presenting with different manifestations including aggressive behavior, acute liver failure and severe encephalopathy. Whole exome sequencing successfully identified disease-causing mutations in all three cases including two novel ones: the c.209_210delAA (p.Lys70Argfs*17) and the c.850T>A (p.Tyr284Asn). This study affirms variable symptoms in female patients with OTCD and emphasizes the importance of early recognition and prompt management for favorable outcomes. In addition, identification of two novel causative variants expands the genotypic spectrum of OTC."
"Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism  2018 IEEE.Predicting court judgement has gained growing attention over the past years. Prior attempts used traditional prediction techniques based on Bag of words (BoW), where the order of words is discarded, resulting in low accuracy. In this paper, we propose a prediction model of criminal cases from Thai Supreme Court using End-To-End Deep Learning Neural Networks. Our model imitates a process of legal interpretation, whereby recurrent neural networks read the fact from an input case and compare them against relevant legal provisions with the attention mechanism. The model's output shows if a person is guilty of a crime according to the fact and laws. After the performance test, we find that our model could yield the higher F1 than traditional text classification techniques including Naive Bayes and SVM. In addition, we innovate the open dataset called 'Thai Supreme Court Cases (TSCC)' that was compiled from many decades of Thai Supreme Court criminal judgements. It features the text of fact expertly extracted from each judgement, textual provisions from Thai Criminal Code, and binary-format labels following the theoretical criminal law structure. This dataset is useful for achieving judgement predicting task together with emulating actual criminal case trial."
"PH Variation as a Simple and Selective Pathway for Obtaining Nanoparticle or Nanocapsule Polysaccharides  2018 American Chemical Society. The fabrication of polysaccharides to be nanoparticles or nanocapsules is quite specific due to various parameters and factors. The present work demonstrates a simple pathway to selectively prepare the ionic polysaccharide flakes to be nanoparticles or nanocapsules. The systematic studies on the model cases of cationic polysaccharide (i.e., chitosan) and anionic polysaccharide (i.e., alginate) confirm that pK a is the key point to tune the polysaccharides to be nanoparticles or nanocapsules. When the ionic polysaccharides were in an oil/water emulsion system, the pH close to pK a leads to the densely packed polysaccharide chains under the hydrogen bond networks, and as a result the cross-link occurs all through the chains to be nanoparticles. On the other hand, when pH was adjusted to the lower or higher than pK a depending on the types of ionic polysaccharide, the polysaccharide chains are under charge-charge repulsive force, resulting in the alignment of polysaccharide chains to be hollow nanospheres, and at that time the cross-link initiates the formation of nanocapsules. The present work, for the first time, clarifies that pH variation is the key to selectively prepare nanoparticles or nanocapsules, and this is important for delivery systems, coatings, sensors, and so forth."
"Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy  2018The oxide layers of regular nanotubes structure were obtained on the surface of Ti–Zr alloys (Ti-6Al-4V-χZr (χ = 0, 20, 30, 40, 51)) by anodization. X-ray photoelectron spectroscopy (XPS), scanning electron microscopy (SEM), energy dispersive X-ray spectroscopy(EDX) were used to characterize the morphology and composition of the nanotubes oxidized layers. The tribological property of the oxidized layers was evaluated using ball-on-disc wear tester. Neat microstructures can be obtained on all samples. With the addition of zirconium to the Ti-6Al-4V, the anodic oxidation is relatively intense, and the wear resistance of Ti-6Al-4V can be enhanced."
"Applying Text Mining for Classifying Disease from Symptoms  2018 IEEE.Nowadays, misdiagnoses account for a significant portion of medical errors [1]. This is due to the fact that each physician's diagnosis is different depending on the physician's knowledge, skill, and experience. In several cases, physicians may ignore uncommon diseases. Also, after the diagnosis, the physician has to provide ICD-10-CM code. This is a difficult process for most (if not all) physicians. We propose a predictive model for classifying disease from symptoms by applying text mining technique. Our research technique allows physician to diagnose and to access an ICD-10-CM code directly from symptoms. Our models are based on several classifiers such as Decision Tree, Naïve Bayes, Support Vector Machine, and Neural Network. Models from each classifier were compared using training time, predicting time, Receiver Operating Characteristic (ROC) curve, True Positive Rate (TPR), False Positive Rate (FPR), precision and accuracy. The result suggests that Neural Network gives the best TPR at 89.03%."
