Labels,Title_Abstract
"['Biotechnology', 'Bioengineering', 'Environmental Engineering', 'Biomedical Engineering']","Reduction of algal wall-growth biofilm for the cultivation of Chlorococcum in photobioreactors using commercial surfactants and floating plastic media  2022 Elsevier B.V.During the cultivation of Chlorococcum humicola in photobioreactors (PBRs), significant biofilm formation occurred, leading to light limitation and lower productivity. This work presents the possibility of using commercial surfactants to reduce wall-growth biofilm in PBRs. Results confirm that sodium dodecyl sulfate (SDS) at 0.0082 mM can successfully control wall-growth biofilm in the cultivation of C. humicola more than CTAB and Triton X-100. The addition of SDS into 2-L PBRs, built from either acrylic or glass, results in 68–158 % and 28–43 % increases in algal biomass concentrations compared to those without SDS addition. PBRs applying with SDS at the start of the cultivation can be operated for 23 days without stopping aeration to remove biofilm. Both SDS and floating plastic media were effective in algal biofilm control when applying in 60-L PBRs. The addition of SDS is seen to offer a practical solution to reduce algal biofilm on both glass and acrylic surfaces and promote higher biomass concentration during the cultivation."
"['Structural Biology', 'Biochemistry', 'Molecular Biology']","Dietary anthocyanins inhibit insulin fibril formation and cytotoxicity in 3T3-L1 preadipocytes  2022 Elsevier B.V.Insulin fibril formation decreases the effectiveness of insulin therapy and causes amyloidosis in diabetes. Studies suggest that phytochemicals are capable of inhibiting fibril formation. Herein, we investigated the inhibitory effects of anthocyanins, including cyanidin, cyanidin-3-glucoside (C3G), cyanidin-3-rutinoside (C3R), malvidin, and malvidin-3-glucoside (M3G) on fibril formation. Our results revealed that anthocyanins (50–200 μM) significantly reduced the formation of insulin fibrils by increasing lag times and decreasing ThT fluorescence at the plateau phase. These findings were confirmed by TEM images, which showed reduced fibril length and number. Furthermore, FTIR analysis indicated that anthocyanins reduced the secondary structure transition of insulin from α-helix to β-sheet. Anthocyanins interacted with monomeric insulin (residues B8–B30) via H-bonds, van der Waals, and hydrophobic interactions, covering the fibril-prone segments of insulin (residues B12–B17). Based on the structure-activity analysis, the presence of glycosides and hydroxyl groups on phenyl rings increased intermolecular interaction, mediating the inhibitory effect of anthocyanins on fibril formation in the order of malvidin < cyanidin < M3G < C3G < C3R. Moreover, anthocyanins formed H-bonds with preformed insulin fibrils, except for malvidin. In preadipocytes, C3R, C3G, and cyanidin attenuated insulin fibril-induced cytotoxicity. In conclusion, anthocyanins are effective inhibitors of insulin fibril formation and cytotoxicity."
"['Structural Biology', 'Biochemistry', 'Molecular Biology']","Metformin delivery via iontophoresis based on κ-carrageenan cryogels  2022Transdermal drug delivery system (TDDS) is the system for transmitting a drug through the skin into the blood circulation. In this work, κ-Carrageenan (κC) was used as the drug matrix material. The porous κC matrices were fabricated by dissolving the κC in deionized water to obtain hydrogels and then using the freeze-dryer to obtain cryogels. The porous (κC) matrices showed interconnected pore sizes varying between 6.05 to 25.8 nm. In the drug release experiments, the drug diffusion coefficient increased and the drug release duration was reduced with decreasing κC concentration due to the larger κC pore sizes. The diffusion coefficient increased with a shorter release time under the applied electric strength of +1.0 V due to the electro-repulsive force between the Metformin and the anode. For the drug release-permeation of the κC 0.8 % v/v cryogel through the pig skin under applied positive electrical potentials, the amounts of drug release-permeation and diffusion coefficients were enhanced with shorter durations relative to without electrical potential. The κC 0.8 % v/v matrix at the applied electric strength of +6.0 V has been shown here to be potential to be used as the Metformin transdermal controlled delivery patch for abdominal obesity and diabetes."
"['Chemistry (all)', 'Chemical Engineering (all)', 'Industrial and Manufacturing Engineering']","Experimental investigations of CO2 absorption and catalyst-aided CO2 desorption performance of several different amines blending with a promoter  2022 Elsevier LtdThis research presented the new experimental results of the absorption and desorption performance of various single and blended solvents in terms of initial CO2 absorption rate, initial desorption rate for blank solvents and solvents with the aid of HZSM-5 catalyst, and equilibrium CO2 solubility. MEA and PZ are two promoters used to facilitate several individual aqueous single solvents including BEA, AMP, BDEA, and MDEA. In order to check the altered performance of absorption and desorption, the solvents were specified at 2.5 M. The initial desorption rate was evaluated by varying the temperature, weight of the solid catalyst, and initial rich CO2 loading. The experimental results were then taken to compare with the obtained data of the benchmark solution (2.5 M MEA). The comparison results revealed that all the selected blank solvent blends can provide better absorption and desorption performance than the blank benchmark solution. The results also indicated that the performance of catalyst-aided CO2 desorption could be strongly affected by the rich loading and operating temperature. Meaning that the activation of proton donation by HZSM-5 was patently affected by the above two conditions, which eventually affect the CO2 separation from the rich solvent."
"['Condensed Matter Physics', 'Surfaces and Interfaces', 'Surfaces, Coatings and Films']","High-throughput screening of highly active and selective single-atom catalysts for ammonia synthesis on WB2 (0 0 1) surface  2022Efficient nitrogen reduction reaction (NRR) under mild conditions remains a long-standing challenge. Single-atom catalysts (SACs) with high utilization, selectivity, and activity have cut a great splash in past years. Here, we showed four (B-1, B-2, W-1, and W-2 terminated) WB2 (0 0 1) surfaces are promising alternative supports for low-cost transition metal (TM) SACs toward NRR. After the density-functional-theory (DFT) high-throughput screening, the results show that the single Cr atoms anchored on site 1 of W-1 and W-2 terminations serve as the most active catalytic center among all TMs, the limiting potentials of Cr@(W-1@1) and Cr@(W-2@1) are only −0.28 V and −0.37 V, respectively. Besides, the single V atom anchored on B-1@3 and single Mn atoms anchored on B-2@3 shows the best NRR performances. The limiting potentials of V@(B-1@3) and Mn@(B-2@3) are only around −0.19 V and −0.28 V, respectively. What's more, the excellent selectivities of Cr@(W-1@1), Cr@(W-1@1), V@(B-1@3), and Mn@(B-2@3) to NRR were further confirmed. This work proposes new single atom-substrate pairs and offers systematical insights into the design scheme for high-efficient NH3 production on WB2 (0 0 1) surfaces-supported SACs."
"['Renewable Energy, Sustainability and the Environment', 'Fuel Technology', 'Condensed Matter Physics', 'Energy Engineering and Power Technology']","Electrodeposition of the manganese-doped nickel-phosphorus catalyst with enhanced hydrogen evolution reaction activity and durability  2021 Hydrogen Energy Publications LLCHydrogen technology is widely considered a novel clean energy source, and electrolysis is an effective method for hydrogen evolution. Therefore, efficient hydrogen evolution reaction (HER) catalysts are urgently needed to replace precious metal catalysts and meet ecological and environmental protection standards. Herein, Ni–Mn–P electrocatalysts are synthesized using facile electrodeposition technology. The influence of the Mn addition on the catalytic behavior is studied by the comprehensive analysis of catalytic performance and morphology of the catalysts. Among them, the Ni–Mn–P0.01 catalyst exhibits small coral-like structures, greatly improving the adsorption and desorption of hydrogen ions and reducing the overpotential hydrogen evolution. Consequently, overpotential at 10 mA cm−2 electric current density is 113 mV, and the value of the Tafel slope achieves 74 mV/dec. Furthermore, the Ni–Mn–P catalyst shows long-time (20 h) stability at current densities of 10 and 60 mA/cm2. The results confirm that the synergistic effect of Ni, Mn, and P accelerates the electrochemical reaction. Meanwhile, the addition of manganese element can change the micromorphology of the catalyst, thereby exposing more active sites to participate in the reaction, enhancing water ionization, improving the catalytic performance. This study opens a new way toward improving the activity of the catalyst by adjusting Mn concentration during the electrodeposition process."
"['Renewable Energy, Sustainability and the Environment', 'Fuel Technology', 'Condensed Matter Physics', 'Energy Engineering and Power Technology']","Novel strategy in biohydrogen energy production from COVID - 19 plastic waste: A critical review  2021 Hydrogen Energy Publications LLCUsage of plastics in the form of personal protective equipment, medical devices, and common packages has increased alarmingly during these pandemic times. Though they have served as an excellent protection source in minimizing the coronavirus disease (COVID-19) spreading, they have still emerged as major environmental pollutants nowadays. These non-degradable COVID-19 plastic wastes (CPW) were treated through incineration and landfilling process, which may lead to either the release of harmful gases or contaminating the surrounding environment. Further, they can cause numerous health hazards to the human and animal populations. These plastic wastes can be efficiently managed through thermochemical processes like pyrolysis or gasification, which assist in degrading the plastic waste and also effectively convert them into useful energy-yielding products. The pyrolysis process promotes the formation of liquid fuels and chemicals, whereas gasification leads to syngas and hydrogen fuel production. These energy-yielding products can help to compensate for the fossil fuels depletion in the near future. There are many insights explained in terms of the types of reactors and influential factors that can be adopted for the pyrolysis and gasification process, to produce high efficient energy products from the wastes. In addition, advanced technologies including co-gasification and two-stage gasification were also reviewed."
"['Renewable Energy, Sustainability and the Environment', 'Fuel Technology', 'Condensed Matter Physics', 'Energy Engineering and Power Technology']","Recent progress of electrocatalysts for hydrogen proton exchange membrane fuel cells  2021 Hydrogen Energy Publications LLCDue to stringent environmental regulations and the limited resources of fossil-based fuels, there is an urgent demand for clean and eco-friendly energy conversion devices. These criteria appear to be met by hydrogen proton exchange membrane fuel cells (PEMFCs). PEMFCs have attracted tremendous attention on account of their excellent performance with tunable operability and good portability. Nonetheless, their practical applications are hugely influenced by the scarcity and high cost of platinum (Pt) used as electrocatalysts at both cathode and anode. Pt is also susceptible to easy catalyst poisoning. Herein, this paper reviews the progress of the research regarding the development of electrocatalysts practically used in hydrogen PEMFCs, where the corner-stone reactions are cathodic oxygen reduction reaction (ORR) and anodic hydrogen oxidation reaction (HOR). To reduce the costs of PEMFCs, lessening or eliminating the use of Pt is of prime importance. For current and forthcoming laboratory/large-scale PEMFCs, there is much interest in developing substitute catalysts based on cheaper materials. As such are non-platinum (non-Pt), non-platinum group metals (non-PGMs), metal oxides, and non-metal electrocatalysts. Hence, high-performance, state-of-the-art, and novel structured electrocatalysts as replacements for Pt are needed."
['Engineering (all)'],"A Review of Packed Bed Reactor and Gradient-less Recycle Reactor for Determination of Intrinsic Reaction Kinetics  2022, Chulalongkorn University, Faculty of Fine and Applied Arts. All rights reserved.Intrinsic reaction kinetics is an essential information in catalytic reaction engineering. This paper reviews the two laboratory reactors, i.e., the packed-bed reactor and gradient-less recycle reactor commonly employed for determining the intrinsic reaction kinetics of heterogeneous catalysts. Although both reactors have been well-known for kinetic studies for a long time, there are still efforts to address some essential issues and to further develop the reactors. For example, a new design of the gradient-less recycle reactor was developed to broaden the operating window for intrinsic kinetic studies at low pressure. Furthermore, the intrinsic kinetic modeling in the gradient-less recycle reactor and packed-bed reactor, including the effects of mass transfer and axial dispersion, was also investigated. This review article provides in detail the types of both reactors, the development of both packed-bed reactor and gradient-less recycle reactor, intrinsic kinetic modeling, and the methods for determining heat-and mass-transfer limitations. All of these point out the suitable methods for determining intrinsic kinetics and perspectives for future works."
['Hematology'],"Immunogenicity of SARS-CoV-2 vaccines in patients with multiple myeloma: a systematic review and meta-analysis  2022 by The American Society of Hematology.Patients with multiple myeloma (MM) have a diminished immune response to coronavirus disease 2019 (COVID-19) vaccines. Risk factors for an impaired immune response are yet to be determined. We aimed to summarize the COVID-19 vaccine immunogenicity and to identify factors that influence the humoral immune response in patients with MM. Two reviewers independently conducted a literature search in MEDLINE, Embase, ISI Web of Science, Cochrane library, and Clinicaltrials.gov from existence until 24 May 24 2022. (PROSPERO: CRD42021277005). A total of 15 studies were included in the systematic review and 5 were included in the meta-analysis. The average rate (range) of positive functional T-lymphocyte response was 44.2% (34.2%-48.5%) after 2 doses of messenger RNA (mRNA) COVID-19 vaccines. The average antispike antibody response rates (range) were 42.7% (20.8%-88.5%) and 78.2% (55.8%-94.2%) after 1 and 2 doses of mRNA COVID-19 vaccines, respectively. The average neutralizing antibody response rates (range) were 25% (1 study) and 62.7% (53.3%-68.6%) after 1 and 2 doses of mRNA COVID-19 vaccines, respectively. Patients with high-risk cytogenetics or receiving anti-CD38 therapy were less likely to have a humoral immune response with pooled odds ratios of 0.36 (95% confidence interval [95% CI], 0.18, 0.69), I2 = 0% and 0.42 (95% CI, 0.22, 0.79), I2 = 14%, respectively. Patients who were not on active MM treatment were more likely to respond with pooled odds ratio of 2.42 (95% CI, 1.10, 5.33), I2 = 7%. Patients with MM had low rates of humoral and cellular immune responses to the mRNA COVID-19 vaccines. Further studies are needed to determine the optimal doses of vaccines and evaluate the use of monoclonal antibodies for pre-exposure prophylaxis in this population."
